Country,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
0,16.2,0.4,9.3,1.0,15.1,31.7,38368.07
0,16.3,1.1,9.5,1.0,16.9,33.1,38479.97
0,17.2,0.7,10.7,1.0,11.0,22.0,38592.42
0,17.4,1.3,10.6,1.0,9.7,18.4,38705.31
0,17.9,3.5,11.8,1.0,10.7,23.4,36985.5
0,19.1,4.5,13.1,1.0,9.0,20.5,38932.06
0,20.2,3.2,13.1,1.0,8.7,20.9,39039.98
0,21.3,4.6,14.3,1.0,15.6,29.9,39110.8
0,22.8,4.9,15.5,1.0,18.4,35.3,38105.12
0,21.8,5.3,15.2,1.0,14.3,29.5,39253.46
0,22.2,6.8,16.3,1.0,15.0,29.5,39325.11
0,22.9,6.2,16.1,1.0,18.4,33.1,39396.85
0,23.5,8.7,17.2,1.0,16.3,33.8,39468.58
